Tarikh,Kluster,Bayaran,Kaedah Pembayaran,Jumlah
15/8/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),BAYARAN PENGANGKUTAN PROGRAM PEMANTAPAN ILMU,Bank,1400
15/8/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),PERTANDINGAN INOVASI ANTARA PROGRAM,Tunai,375
15/8/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),MAJLIS APRESIASI KECEMERLANGAN AKADEMIK,Bank,1280
29/7/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),ORIENTASI 1 DVM,Bank,1100
21/7/2025,AKTIVITI PEMBANGUNAN SAHSIAH (RM25),SEWAAN BAS KVKS,Bank,3000
16/7/2025,SUMBANGAN TABUNG PIBG (RM20) ANAK KEDUA - (RM0),PERTANDINGAN KIK,Bank,650
16/7/2025,SUMBANGAN SUKOV DAN KV SKILL (RM30),YURAN KV SKILLS ZON (516 X RM15),Bank,7740
15/7/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),KV SKILLS KULINARI,Bank,400
15/7/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),KV SKILLS BAKERY,Bank,400
11/7/2025,AKTIVITI KOKURIKULUM (RM25),APRESIASI SUKOV KEBANGSAAN,Bank,500
11/7/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),WSMB PRA KELAYAKAN - BAYARAN HOMESTAY,Bank,750
3/7/2025,AKTIVITI KOKURIKULUM (RM25),SUMBANGAN SUKOV TAHUN 2025,Bank,2000
2/7/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),KV SKILLS TAHUN 2025,Bank,1600
26/6/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),MALACCA CULINARY CHALLENGE PROGRAM BAKERI,Bank,450
26/6/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),MALACCA CULINARY CHALLENGE PROGRAM KULINARI,Bank,750
26/6/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),PENGINAPAN WORLDSKILLS MALAYSIA BELIA 2025,Bank,420
26/6/2025,AKTIVITI KOKURIKULUM (RM25),BAYARAN JURULATIH SUKOV ZON TENGAH,Bank,4000
26/6/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),GURU GANTI SUBJEK MANDARIN,Bank,450
20/6/2025,SUMBANGAN TABUNG PIBG (RM20) ANAK KEDUA - (RM0),JAMUAN MESYUARAT AJK PIBG BIL 3 TAHUN 2025 (RM15 + RM105),Tunai,120
18/6/2025,TABUNG KONVOKESYEN DIPLOMA (RM50),BAYARAN BALIK YURAN GRADUASI / KONVO KOHORT 2020,Tunai,650
10/6/2025,AKTIVITI KOKURIKULUM (RM25),NETBALL TOURNAMENT,Bank,500
28/5/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),PROGRAM MATH & SCIENCE ADVENTURE,Bank,580
9/5/2025,PEMBANGUNAN FIZIKAL DAN KECERIAN KOLEJ (RM30),AUDIT MQA MBOT,Bank,3000
9/5/2025,PEMBANGUNAN FIZIKAL DAN KECERIAN KOLEJ (RM30),CERAMAH DALAM EKSA,Bank,300
8/5/2025,SUMBANGAN SUKOV DAN KV SKILL (RM30),SUKOV KVKS 2025,Bank,7740
15/4/2025,SUMBANGAN TABUNG PIBG (RM20) ANAK KEDUA - (RM0),SAMBUTAN HARI RAYA KVKS 2025,Bank,3100
10/4/2025,TABUNG KONVOKESYEN DIPLOMA (RM50),BAYARAN BALIK YURAN KONVOKESYEN PELAJAR YANG TIDAK HADIR,Bank,150
9/4/2025,SUMBANGAN TABUNG PIBG (RM20) ANAK KEDUA - (RM0),BAYARAN POSTAGE,Bank,100
9/4/2025,TABUNG KONVOKESYEN DIPLOMA (RM50),PENGURUSAN KONVOKESYEN,Bank,10400
8/4/2025,TABUNG KONVOKESYEN DIPLOMA (RM50),YURAN KONVOKESYEN KOHORT 2022,Bank,18720
21/3/2025,SUMBANGAN TABUNG PIBG (RM20) ANAK KEDUA - (RM0),CENDERAMATA MESYUARAT AGONG TAHUNAN 2024,Bank,830
24/2/2025,AKTIVITI PEMBANGUNAN SAHSIAH (RM25),MAJLIS AKHIR TAHUN PELAJAR 2DVM,Bank,1000
13/2/2025,AKTIVITI KOKURIKULUM (RM25),BOTAM,Bank,200
3/2/2025,AKTIVITI KOKURIKULUM (RM25),OPEN NETBALL,Bank,300
23/1/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),PEMULANGAN DUIT PERABOT BEKAL PELAJAR BAK,Bank,250
13/1/2025,TABUNG GRADUASI DAN APRESIASI (RM30),BAYARAN GRADUASI KOHORT 2022,Bank,4600
13/1/2025,TABUNG GRADUASI DAN APRESIASI (RM30),BAYARAN GRADUASI KOHORT 2022,Bank,14450
10/1/2025,PEMBANGUNAN FIZIKAL DAN KECERIAN KOLEJ (RM30),KIPAS DAN WIRING KAN,Bank,1700
10/1/2025,SUMBANGAN TABUNG PIBG (RM20) ANAK KEDUA - (RM0),ETIQA FAMILY - SKIM KHAIRAT,Bank,566.4
7/1/2025,SUMBANGAN TABUNG PIBG (RM20) ANAK KEDUA - (RM0),BAYARAN MONTHLY BIZZ CHANNEL (JAN-DIS),Bank,960
7/1/2025,SUMBANGAN TABUNG PIBG (RM20) ANAK KEDUA - (RM0),ETIQA GENERAL,Tunai,3314
7/1/2025,SUMBANGAN TABUNG PIBG (RM20) ANAK KEDUA - (RM0),CAJ BANK,Bank,0.1
